,antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
519,frozenset({'tentativa_de_homicidio'}),"frozenset({'homicidio_culposo_por_acidente_de_transito', 'roubo_outros'})",0.7884615384615384,0.75,0.7115384615384616,0.902439024390244,1.2032520325203253,1.0,0.12019230769230771,2.5625000000000036,0.7985257985257984,0.86046511627907,0.6097560975609762,0.9255784865540964
516,"frozenset({'homicidio_culposo_por_acidente_de_transito', 'roubo_outros'})",frozenset({'tentativa_de_homicidio'}),0.75,0.7884615384615384,0.7115384615384616,0.9487179487179488,1.2032520325203253,1.0,0.12019230769230771,4.125000000000006,0.6756756756756758,0.86046511627907,0.7575757575757579,0.9255784865540964
334,frozenset({'tentativa_de_homicidio'}),"frozenset({'homicidio_culposo_por_acidente_de_transito', 'furto_de_veiculos'})",0.7884615384615384,0.75,0.7115384615384616,0.902439024390244,1.2032520325203253,1.0,0.12019230769230771,2.5625000000000036,0.7985257985257984,0.86046511627907,0.6097560975609762,0.9255784865540964
331,"frozenset({'homicidio_culposo_por_acidente_de_transito', 'furto_de_veiculos'})",frozenset({'tentativa_de_homicidio'}),0.75,0.7884615384615384,0.7115384615384616,0.9487179487179488,1.2032520325203253,1.0,0.12019230769230771,4.125000000000006,0.6756756756756758,0.86046511627907,0.7575757575757579,0.9255784865540964
517,"frozenset({'tentativa_de_homicidio', 'roubo_outros'})",frozenset({'homicidio_culposo_por_acidente_de_transito'}),0.7884615384615384,0.7692307692307693,0.7115384615384616,0.902439024390244,1.1731707317073172,1.0,0.1050295857988166,2.365384615384618,0.6977886977886979,0.8409090909090909,0.577235772357724,0.913719512195122
518,frozenset({'homicidio_culposo_por_acidente_de_transito'}),"frozenset({'tentativa_de_homicidio', 'roubo_outros'})",0.7692307692307693,0.7884615384615384,0.7115384615384616,0.925,1.1731707317073172,1.0,0.1050295857988166,2.8205128205128225,0.63963963963964,0.8409090909090909,0.6454545454545457,0.913719512195122
507,"frozenset({'tentativa_de_homicidio', 'lesao_corporal_dolosa'})",frozenset({'homicidio_culposo_por_acidente_de_transito'}),0.7884615384615384,0.7692307692307693,0.7115384615384616,0.902439024390244,1.1731707317073172,1.0,0.1050295857988166,2.365384615384618,0.6977886977886979,0.8409090909090909,0.577235772357724,0.913719512195122
506,"frozenset({'homicidio_culposo_por_acidente_de_transito', 'lesao_corporal_dolosa'})",frozenset({'tentativa_de_homicidio'}),0.7692307692307693,0.7884615384615384,0.7115384615384616,0.925,1.1731707317073172,1.0,0.1050295857988166,2.8205128205128225,0.63963963963964,0.8409090909090909,0.6454545454545457,0.913719512195122
494,frozenset({'tentativa_de_homicidio'}),"frozenset({'homicidio_culposo_por_acidente_de_transito', 'lesao_corporal_culposa_por_acidente_de_transito'})",0.7884615384615384,0.7692307692307693,0.7115384615384616,0.902439024390244,1.1731707317073172,1.0,0.1050295857988166,2.365384615384618,0.6977886977886979,0.8409090909090909,0.577235772357724,0.913719512195122
493,frozenset({'homicidio_culposo_por_acidente_de_transito'}),"frozenset({'tentativa_de_homicidio', 'lesao_corporal_culposa_por_acidente_de_transito'})",0.7692307692307693,0.7884615384615384,0.7115384615384616,0.925,1.1731707317073172,1.0,0.1050295857988166,2.8205128205128225,0.63963963963964,0.8409090909090909,0.6454545454545457,0.913719512195122
218,frozenset({'tentativa_de_homicidio'}),"frozenset({'estupro_de_vulneravel', 'homicidio_culposo_por_acidente_de_transito'})",0.7884615384615384,0.7692307692307693,0.7115384615384616,0.902439024390244,1.1731707317073172,1.0,0.1050295857988166,2.365384615384618,0.6977886977886979,0.8409090909090909,0.577235772357724,0.913719512195122
217,frozenset({'homicidio_culposo_por_acidente_de_transito'}),"frozenset({'estupro_de_vulneravel', 'tentativa_de_homicidio'})",0.7692307692307693,0.7884615384615384,0.7115384615384616,0.925,1.1731707317073172,1.0,0.1050295857988166,2.8205128205128225,0.63963963963964,0.8409090909090909,0.6454545454545457,0.913719512195122
492,"frozenset({'tentativa_de_homicidio', 'lesao_corporal_culposa_por_acidente_de_transito'})",frozenset({'homicidio_culposo_por_acidente_de_transito'}),0.7884615384615384,0.7692307692307693,0.7115384615384616,0.902439024390244,1.1731707317073172,1.0,0.1050295857988166,2.365384615384618,0.6977886977886979,0.8409090909090909,0.577235772357724,0.913719512195122
491,"frozenset({'homicidio_culposo_por_acidente_de_transito', 'lesao_corporal_culposa_por_acidente_de_transito'})",frozenset({'tentativa_de_homicidio'}),0.7692307692307693,0.7884615384615384,0.7115384615384616,0.925,1.1731707317073172,1.0,0.1050295857988166,2.8205128205128225,0.63963963963964,0.8409090909090909,0.6454545454545457,0.913719512195122
214,"frozenset({'estupro_de_vulneravel', 'homicidio_culposo_por_acidente_de_transito'})",frozenset({'tentativa_de_homicidio'}),0.7692307692307693,0.7884615384615384,0.7115384615384616,0.925,1.1731707317073172,1.0,0.1050295857988166,2.8205128205128225,0.63963963963964,0.8409090909090909,0.6454545454545457,0.913719512195122
